2024-12-12 16:18:36,212 - INFO: Data loaded: 460319 tokens
2024-12-12 16:30:09,640 - INFO: Step  3900: Train Loss =   3.1183, Val Loss =   4.9725
2024-12-12 16:30:18,063 - INFO: Step  3950: Train Loss =   2.9180, Val Loss =   4.8384
2024-12-12 16:30:26,445 - INFO: Step  4000: Train Loss =   2.9473, Val Loss =   5.1341
2024-12-12 16:30:34,988 - INFO: Step  4050: Train Loss =   2.9562, Val Loss =   4.8782
2024-12-12 16:30:43,495 - INFO: Step  4100: Train Loss =   2.9684, Val Loss =   4.8252
2024-12-12 16:30:52,088 - INFO: Step  4150: Train Loss =   2.8707, Val Loss =   4.8697
2024-12-12 16:31:00,445 - INFO: Step  4200: Train Loss =   2.8417, Val Loss =   4.7917
2024-12-12 16:31:08,797 - INFO: Step  4250: Train Loss =   2.9706, Val Loss =   5.0107
2024-12-12 16:31:17,153 - INFO: Step  4300: Train Loss =   2.9575, Val Loss =   5.1066
2024-12-12 16:31:25,508 - INFO: Step  4350: Train Loss =   2.9156, Val Loss =   4.7065
2024-12-12 16:31:33,992 - INFO: Step  4400: Train Loss =   2.9187, Val Loss =   4.6880
2024-12-12 16:31:42,380 - INFO: Step  4450: Train Loss =   2.9118, Val Loss =   4.7205
2024-12-12 16:31:50,849 - INFO: Step  4500: Train Loss =   3.0303, Val Loss =   4.7187
2024-12-12 16:31:59,234 - INFO: Step  4550: Train Loss =   2.8813, Val Loss =   4.7084
2024-12-12 16:32:07,593 - INFO: Step  4600: Train Loss =   2.8702, Val Loss =   5.2790
2024-12-12 16:32:15,924 - INFO: Step  4650: Train Loss =   2.8937, Val Loss =   4.6654
2024-12-12 16:32:24,818 - INFO: Step  4700: Train Loss =   2.9890, Val Loss =   5.1741
2024-12-12 16:32:33,444 - INFO: Step  4750: Train Loss =   2.8850, Val Loss =   4.5340
2024-12-12 16:32:43,896 - INFO: Step  4800: Train Loss =   2.9320, Val Loss =   4.8240
2024-12-12 16:32:52,756 - INFO: Step  4850: Train Loss =   2.7857, Val Loss =   4.8320
2024-12-12 16:33:01,066 - INFO: Step  4900: Train Loss =   2.8642, Val Loss =   4.7579
2024-12-12 16:33:09,457 - INFO: Step  4950: Train Loss =   2.7791, Val Loss =   5.2273
2024-12-12 16:33:17,636 - INFO: Step  4999: Train Loss =   2.9704, Val Loss =   5.3735
2024-12-12 16:33:17,793 - INFO: Training completed
2024-12-12 16:33:17,887 - INFO: Model training completed and saved.
2024-12-12 16:33:18,053 - INFO: Total parameters: 13331488
2024-12-12 16:46:53,207 - INFO: Data loaded: 460319 tokens
2024-12-12 16:46:53,567 - INFO: Data split: Train 62336 tokens, Validation 15583 tokens
2024-12-12 16:46:53,665 - INFO: Model initialized
2024-12-12 16:46:55,344 - INFO: Optimizer initialized
2024-12-12 16:46:56,177 - INFO: Step     0: Train Loss =  11.7340, Val Loss =  11.7251
2024-12-12 16:47:04,205 - INFO: Step    50: Train Loss =   7.9119, Val Loss =   8.2359
2024-12-12 16:47:11,991 - INFO: Step   100: Train Loss =   6.7538, Val Loss =   6.8426
2024-12-12 16:47:22,448 - INFO: Step   150: Train Loss =   6.2632, Val Loss =   6.6909
2024-12-12 16:47:31,275 - INFO: Step   200: Train Loss =   6.1051, Val Loss =   6.8623
2024-12-12 16:47:41,174 - INFO: Step   250: Train Loss =   5.7495, Val Loss =   6.2173
2024-12-12 16:47:50,190 - INFO: Step   300: Train Loss =   5.6271, Val Loss =   6.2111
2024-12-12 16:47:58,808 - INFO: Step   350: Train Loss =   5.6739, Val Loss =   6.0021
2024-12-12 16:48:10,349 - INFO: Step   400: Train Loss =   5.3287, Val Loss =   5.7865
2024-12-12 16:48:19,895 - INFO: Step   450: Train Loss =   5.0110, Val Loss =   6.0726
2024-12-12 16:48:29,533 - INFO: Step   500: Train Loss =   4.9920, Val Loss =   5.6765
2024-12-12 16:48:38,249 - INFO: Step   550: Train Loss =   5.0055, Val Loss =   5.8758
2024-12-12 16:48:48,053 - INFO: Step   600: Train Loss =   5.0749, Val Loss =   5.7964
2024-12-12 16:48:58,001 - INFO: Step   650: Train Loss =   4.6974, Val Loss =   5.5909
2024-12-12 16:49:07,699 - INFO: Step   700: Train Loss =   4.6970, Val Loss =   5.7177
2024-12-12 16:49:17,207 - INFO: Step   750: Train Loss =   4.6298, Val Loss =   5.9050
2024-12-12 16:49:26,349 - INFO: Step   800: Train Loss =   4.4477, Val Loss =   5.9334
2024-12-12 16:49:35,445 - INFO: Step   850: Train Loss =   4.6737, Val Loss =   5.5363
2024-12-12 16:49:44,852 - INFO: Step   900: Train Loss =   4.3615, Val Loss =   5.3367
2024-12-12 16:49:54,168 - INFO: Step   950: Train Loss =   4.3809, Val Loss =   5.3434
2024-12-12 16:50:03,284 - INFO: Step  1000: Train Loss =   4.6528, Val Loss =   5.2864
2024-12-12 16:50:13,717 - INFO: Step  1050: Train Loss =   4.1913, Val Loss =   5.3418
2024-12-12 16:50:23,233 - INFO: Step  1100: Train Loss =   4.2346, Val Loss =   5.2325
